Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000277224,HIST1H2BF,0.011006910635249837,0.7486706178440015,0.6119618191233036,0,0.11292964303431852,1,0,0.6181229310113494,1
ENSG00000276966,HIST1H4E,1.0379516729040597,0.3015173289851409,0.28679745959831476,0.6600037986951323,-0.6485992041717004,0.06442285377644624,1.0932541567695964,0.11610485525045099,0.8593493403537276
ENSG00000273802,HIST1H2BG,0.6483070364162155,1.539613833069032,0.00000015945612045177866,0.2490580372434461,-1.2641400060455048,0.0019293167093831262,0.17353240583644386,-1.7156792641643048,0.000628537883434415
ENSG00000277075,HIST1H2AE,0.5063178892214926,0.8524597207737934,0.006268111174914283,0.1992464297947569,-1.256055275913818,0.004656589066502571,0.3817712928401765,-0.296728950299852,0.7290635518234851
ENSG00000124575,HIST1H1D,0.0473297157315743,-1.0586843042136032,0.1365339837460326,0.06226450931086153,0.45688404425168017,0.9256764405690674,0.13882592466915508,1.632769706975751,0.05845137525201787
ENSG00000274618,HIST1H4F,0.11667325273364829,-0.6131502041668742,0.25033778391574035,0.049811607448689225,-1.094395330213188,0.19851937431395472,0.3470648116728877,1.6754561060773012,0.000975906367706806
ENSG00000275713,HIST1H2BH,0.07814906551027385,-0.5408359993509837,0.4896637504673335,0.07471741117303383,0.039866180844595256,1,0.15617916525279948,1.1140804256737606,0.1871147386232572
ENSG00000273983,HIST1H3G,0.05833662636682414,-0.12579850007213977,1,0.024905803724344613,-0.7495668332157459,0.6525440341006126,0.10411944350186632,1.0775545496486467,0.3622799011841274
ENSG00000278588,HIST1H2BI,0.07924975657379883,0.47906355808672174,0.5631584458264057,0,-2.749566833215746,0.023864739493632412,0.12147268408551071,0.8877299907686296,0.4587652541482787
ENSG00000158406,HIST1H4H,0.8002024031826632,0.35409014355667184,0.2235579950904804,0.4109457614516861,-0.949354635220024,0.010471267517042132,0.9197217509331526,0.2606894083085696,0.5725047384117636
ENSG00000186470,BTN3A2,0.15189536676644777,-0.39917485012739284,0.4438909823031227,0.13698192048389538,-0.11880064288146519,1,0.27765184933831016,0.9361987004031054,0.12449412064760722
ENSG00000124508,BTN2A2,0.10126357784429851,-0.695164145742277,0.20545305039997602,0.08717031303520614,-0.18252624049185284,1,0.2602986087546658,1.433698359873922,0.015777746551830625
ENSG00000026950,BTN3A1,0.13758638294062298,-0.9034060787356919,0.2150925151520728,0.14943482234606767,0.053632459350546835,1,0.3991245334238209,1.5539925935916337,0.08633695615789679
ENSG00000111801,BTN3A3,0.1155725616701233,-1.230768059673682,0.0009129349277196262,0.1992464297947569,0.6711394161497894,0.35258631627332016,0.3644180522565321,1.6062488307230578,0.0011593675817680102
ENSG00000112763,BTN2A1,0.14088845613119794,-0.3433899351447667,0.5950601564177064,0.14943482234606767,0.13324962741391477,1,0.20823888700373264,0.6384429153909452,0.47791260180438105
ENSG00000182952,HMGN4,0.4887068322050928,0.25401051089572246,0.5409133592287587,0.2615109391056184,-0.8750977152996051,0.055100330405246783,0.6073634204275535,0.38329340643667864,0.4492607413925348
ENSG00000146109,ABT1,0.17941264335457235,0.8394360817671838,0.10811925777659438,0.049811607448689225,-1.5403388710777466,0.041287819050200715,0.15617916525279948,0.007165221757248652,1
ENSG00000181315,ZNF322,0.20032577356154704,0.5570113240471608,0.27379636039134003,0.09962321489737845,-0.8501707741541522,0.24937699412750924,0.17353240583644386,-0.040442659749804655,1
ENSG00000124635,HIST1H2BJ,0.26526654630952107,1.120639395230959,0.007108056978236501,0.07471741117303383,-1.5975637397706965,0.010061286499605911,0.17353240583644386,-0.4172101421009313,0.6545346893678285
ENSG00000196787,HIST1H2AG,1.2382774464656068,1.4262301112869336,0.0000000007919618801577739,0.4856631726247199,-1.2731287892727594,0.00007004883419935043,0.4164777740074653,-1.4647035001182713,0.0001621775039133044
ENSG00000276180,HIST1H4I,0.5118213445391174,0.6939935252236871,0.024828308369401805,0.2615109391056184,-0.8989444572539729,0.04312104143089446,0.3817712928401765,-0.32666145637668276,0.6839966837418752
ENSG00000112812,PRSS16,0,-5.032689095680658,0.001974335127494354,0,1.250433166784254,1,0.06941296233457754,6.3994826445360085,0.00013779375963852733
ENSG00000158553,POM121L2,0.0011006910635249839,-1.710761000793295,1,0,2.572361261671616,1,0,3.0775545496486467,1
