Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000104853,CLPTM1,0.7374011921248376,-0.404922083018421,0.6724709920770098,0.9761280109282291,0.404922083018421,0.6724709920770098
ENSG00000104856,RELB,0.15479796017887812,-0.36059585998399735,0.9853514212731795,0.1816052113354845,0.36059585998399735,0.9853514212731795
ENSG00000104859,CLASRP,0.7749279703500201,-0.08342013634628537,1,0.8172234510096802,0.08342013634628537,1
ENSG00000170684,ZNF296,0.020639728023850418,-2.0421483338315976,0.503632908316283,0.06810195425080667,2.0421483338315976,0.503632908316283
ENSG00000142252,GEMIN7,0.13322006269939815,-0.865270571747518,0.6169418894779017,0.2270065141693556,0.865270571747518,0.616941889477902
ENSG00000007047,MARK4,0.11351850413117728,0.3650270476742761,1,0.06810195425080667,-0.3650270476742761,1
ENSG00000104866,PPP1R37,0.1998300940490972,-0.8242433034874632,0.5147079767128427,0.3405097712540334,0.8242433034874632,0.5147079767128427
ENSG00000007255,TRAPPC6A,0.11633301249806598,0.8151114940523208,0.8351321177453666,0.04540130283387112,-0.8151114940523208,0.8351321177453666
ENSG00000189114,BLOC1S3,0.15855063800139638,-0.3262443551932206,1,0.1816052113354845,0.3262443551932206,1
ENSG00000283632,EXOC3L2,0.09663145392984514,-0.18719866663488016,1,0.09080260566774224,0.18719866663488016,1
ENSG00000104884,ERCC2,0.11727118195369554,-0.758355367831006,0.8402640839756134,0.1816052113354845,0.758355367831006,0.8402640839756134
ENSG00000104881,PPP1R13L,0.10226047066362251,0.6306869229148933,0.9143593362175295,0.04540130283387112,-0.6306869229148933,0.9143593362175295
ENSG00000117877,CD3EAP,0.06473369243843995,-1.243782195001248,0.5216803790613707,0.13620390850161335,1.243782195001248,0.5216803790613711
ENSG00000012061,ERCC1,0.3752677822518258,-1.1661793768772752,0.022196185695557338,0.8399241024266157,1.1661793768772752,0.022196185695557317
ENSG00000125740,FOSB,0.022516066935109547,-2.5068166008350414,0.13303482140477954,0.1135032570846778,2.5068166008350414,0.13303482140477954
ENSG00000125744,RTN2,0.06004284516029212,-1.1283049775813114,0.7561792872902207,0.1135032570846778,1.1283049775813114,0.7561792872902205
ENSG00000213889,PPM1N,0.00844352510066608,-1.2437821950012484,1,0,1.2437821950012484,1
ENSG00000125753,VASP,0.4024746964650831,-1.0269708059280998,0.057104569113765255,0.8172234510096802,1.0269708059280998,0.057104569113765255
ENSG00000125741,OPA3,0.12477653759873206,-0.08458360015199373,1,0.1135032570846778,0.08458360015199373,1
ENSG00000177464,GPR4,0.041279456047700835,-1.395785288446298,0.6169418894779017,0.09080260566774224,1.395785288446298,0.616941889477902
ENSG00000125746,EML2,0.21953165261731805,-0.27415584404476667,1,0.24970716558629116,0.27415584404476667,1
ENSG00000010310,GIPR,0.02814508366888693,0.38848602049826475,1,0,-0.38848602049826475,1
ENSG00000011478,QPCTL,0.08818792882917906,-0.5808171822788184,0.9882471134246424,0.1135032570846778,0.5808171822788184,0.9882471134246424
ENSG00000177051,FBXO46,0.1182093514093251,-0.8989536980038064,0.6301489720755125,0.20430586275242005,0.8989536980038064,0.6301489720755125
ENSG00000177045,SIX5,0.18481938275902418,0.0636463301909993,1,0.15890455991854893,-0.0636463301909993,1
ENSG00000104936,DMPK,0.38840215463063965,-0.39230471971133607,0.8493042459996043,0.4994143311725823,0.39230471971133607,0.8493042459996043
ENSG00000185800,DMWD,0.3030287341683493,-0.7494222430609985,0.4128221093752708,0.4994143311725823,0.7494222430609985,0.4128221093752708
ENSG00000104941,RSPH6A,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000125755,SYMPK,0.5150550311406309,-0.21730998364005683,1,0.5902169368403246,0.21730998364005683,1
ENSG00000170608,FOXA3,0.4972298114836691,1.4868577609155433,0.09048774462229904,0.15890455991854893,-1.4868577609155433,0.0904877446222992
ENSG00000170604,IRF2BP1,0.24580039737494586,0.013777080766395056,1,0.2270065141693556,-0.013777080766395056,1
ENSG00000176182,MYPOP,0.1369727405219164,-1.066477663193338,0.4090223208793898,0.2724078170032267,1.066477663193338,0.4090223208793898
ENSG00000188425,NANOS2,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000104967,NOVA2,0.0262687447576278,-0.7077292947610383,1,0.02270065141693556,0.7077292947610383,1
ENSG00000104983,CCDC61,0.13603457106628683,0.03915176827025091,1,0.1135032570846778,-0.03915176827025091,1
ENSG00000008438,PGLYRP1,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000188624,IGFL3,0.0009381694556295643,-4.565710289888611,0.503632908316283,0.02270065141693556,4.565710289888611,0.503632908316283
ENSG00000204866,IGFL2,0.0018763389112591287,-2.980747789167455,1,0,2.980747789167455,1
ENSG00000188293,IGFL1,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000124440,HIF3A,0.027206914213257365,-0.6588196942800923,1,0.02270065141693556,0.6588196942800923,1
ENSG00000011485,PPP5C,0.21202629697228154,0.4534832753447007,0.9766692354987478,0.13620390850161335,-0.4534832753447007,0.9766692354987476
ENSG00000169515,CCDC8,0.09194060665169732,-1.6367933879500929,0.07748524150088917,0.2724078170032267,1.6367933879500929,0.07748524150088917
ENSG00000182013,PNMA8A,0.00844352510066608,-2.828744695722404,0.48969961920109595,0.04540130283387112,2.828744695722404,0.48969961920109595
ENSG00000230510,PPP5D1,0.010319864011925209,-0.9807477891674541,1,0,0.9807477891674541,1
ENSG00000204851,PNMA8B,0.0028145083668886933,-3.565710289888611,0.6261192259779698,0.02270065141693556,3.565710289888611,0.6261192259779698
ENSG00000160014,CALM3,1.1558247693356234,-0.02567366004897026,1,1.1804338736806492,0.02567366004897026,1
ENSG00000160013,PTGIR,0.4484449997909318,-0.9837565390397922,0.060788277672265044,0.8853254052604869,0.9837565390397922,0.06078827767226515
ENSG00000167414,GNG8,0.01501071129007303,-0.47824744863827107,1,0,0.47824744863827107,1
ENSG00000197380,DACT3,0.08818792882917906,-0.5808171822788184,0.9882471134246424,0.1135032570846778,0.5808171822788184,0.9882471134246424
ENSG00000105287,PRKD2,0.284265345055758,-0.6397108713323871,0.6138678966078743,0.43131237692177565,0.6397108713323871,0.6138678966078743
ENSG00000090372,STRN4,0.34618452912730924,-0.9412194249808166,0.14486556618211574,0.6583188910911313,0.9412194249808166,0.14486556618211574
ENSG00000181027,FKRP,0.09381694556295644,-1.2294269020241777,0.4382015374329159,0.20430586275242005,1.2294269020241777,0.4382015374329159
ENSG00000105281,SLC1A5,0.15855063800139638,-1.243782195001248,0.14465417079822485,0.363210422670969,1.243782195001248,0.14465417079822485
ENSG00000042753,AP2S1,1.4457191311251587,-0.5600857406947322,0.25259145559632296,2.156561884608878,0.5600857406947322,0.25259145559632296
ENSG00000160007,ARHGAP35,0.6651621440413611,0.44653330586613726,0.8494767441138881,0.47671367975564677,-0.44653330586613726,0.8494767441138881
ENSG00000130751,NPAS1,0.00656718618940695,-1.5657102898886102,1,0,1.5657102898886102,1
ENSG00000130748,TMEM160,0.3321119872928658,-0.09403507549656576,1,0.3405097712540334,0.09403507549656576,1
ENSG00000130749,ZC3H4,0.5544581482770725,0.3218149808529771,1,0.43131237692177565,-0.3218149808529771,1
ENSG00000142230,SAE1,0.22140799152857718,-0.9248945544339364,0.3628585941265047,0.4086117255048401,0.9248945544339364,0.3628585941265047
ENSG00000105327,BBC3,0.3105340898133858,0.3498975228210175,1,0.2270065141693556,-0.3498975228210175,1
ENSG00000105321,CCDC9,0.2495530751974641,-0.4119049538095747,0.9583824858257225,0.31780911983709786,0.4119049538095747,0.9583824858257225
ENSG00000257704,INAFM1,0.25330575301998237,-1.2384487506982071,0.06323324297248831,0.5902169368403246,1.2384487506982071,0.06323324297248831
ENSG00000197405,C5AR1,0.3396173429379023,-1.2713379175218094,0.008540074317566246,0.8172234510096802,1.2713379175218094,0.008540074317566246
ENSG00000134830,C5AR2,0.07974440372851298,-1.5988771538238096,0.13831577367365647,0.2270065141693556,1.5988771538238096,0.13831577367365647
ENSG00000134815,DHX34,0.1951392467709494,-0.6657060798653316,0.7403036630681464,0.2951084684201623,0.6657060798653316,0.7403036630681464
ENSG00000105419,MEIS3,0.08818792882917906,-1.5808171822788186,0.11562350444407984,0.24970716558629116,1.5808171822788186,0.11562350444407984
ENSG00000118160,SLC8A2,0.0037526778225182573,-2.2437821950012484,1,0,2.2437821950012484,1
ENSG00000118162,KPTN,0.0844352510066608,-0.379843744577276,1,0.09080260566774224,0.379843744577276,1
ENSG00000105402,NAPA,1.5461032628775222,-0.04825960789345529,1,1.6117462506024247,0.04825960789345529,1
ENSG00000118156,ZNF541,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000063169,BICRA,0.18294304384776505,-0.7583553678310058,0.6279019723054314,0.2951084684201623,0.7583553678310058,0.6279019723054324
ENSG00000024422,EHD2,0.4822191001935961,-0.7667350334469794,0.24543209568729846,0.8172234510096802,0.7667350334469794,0.24543209568729846
ENSG00000105373,NOP53,2.0142498212366746,0.09367705195910048,1,1.906854719022587,-0.09367705195910048,1
ENSG00000178980,SELENOW,0.38089679898560314,-0.5972650237634555,0.5874514919797091,0.567516285423389,0.5972650237634555,0.5874514919797091
ENSG00000178928,TPRX1,0.0028145083668886933,-2.565710289888611,1,0,2.565710289888611,1
ENSG00000105398,SULT2A1,6.723860488497088,0.718082676111981,0.19455657968684506,4.154219209299208,-0.718082676111981,0.19455657968684473
ENSG00000105507,CABP5,0.0009381694556295643,-3.565710289888611,1,0,3.565710289888611,1
ENSG00000105499,PLA2G4C,0.49347713366115087,0.1540207668612421,1,0.43131237692177565,-0.1540207668612421,1
ENSG00000105486,LIG1,0.2795744977776102,0.33636328942213267,1,0.20430586275242005,-0.33636328942213267,1
