Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000174326,SLC16A11,0.12656681427641933,1.5611695192345891,0.012932503166067434,0.08362175626400098,0.05041343170511281,1,0.016177400986966975,-1.9350107073760943,0.05690823743785537,0.03838330768942096,-1.081608036539242,0.35922391383578445
ENSG00000132514,CLEC10A,0.2652400194836266,-0.25241735653453,0.6157014971415251,0.25086526879200294,0.04350230452031645,1,0.0647096039478679,-1.840618337101139,0.005757909548501879,0.6333245768754459,1.3384301437979682,0.001042386716794864
ENSG00000161944,ASGR2,4.939407499761478,0.6992302170365325,0.0000548608212654222,3.4284920068240403,-0.501901835116197,1,4.17376945463748,-0.19494720555424028,0.7368517867900689,1.554523961421549,-1.6517095175070264,0.000000057335101415451085
ENSG00000141505,ASGR1,2.20556431139082,-0.510646778606471,0.006218089496676001,2.634085322316031,0.1453425063494651,1,5.225300518790333,1.2639243371094597,0.00000001591947491009196,0.9403910383908135,-1.351294998889358,0.0005641573123136615
ENSG00000132535,DLG4,0.13977378620091524,-1.0337770700591897,0.008173012780933424,0.4599196594520054,1.6598289761508076,0.5410075575073597,0.11324180690876884,-0.35004820665493774,0.8568163703430991,0.4030247307389201,1.4978542858048254,0.0056721204304645174
ENSG00000072778,ACADVL,5.138612659622624,-0.042278393418015536,0.8873162440114547,5.05911625397206,-0.0758625543123066,1,5.273832721751234,0.015266169000884844,1,5.488812999587197,0.072071634713192,0.8617369021498303
ENSG00000004975,DVL2,0.5029655141245533,0.34599509940045703,0.3263982655554382,0.5435414157160064,0.20472761101224335,1,0.1294192078957358,-1.8354750338251793,0.0003860191695837778,0.6333245768754459,0.4118282215617046,0.4275895624111418
ENSG00000040633,PHF23,0.741791589759188,1.2274630981290688,0.00000573776640658259,0.5435414157160064,-0.2938558309366519,1,0.16177400986966975,-2.0362940432132755,0.000013828538850601101,0.3838330768942096,-0.8265185773833464,0.10746588917281107
ENSG00000170296,GABARAP,6.288719798047478,0.2668516230277165,0.18261997597173127,6.480686110460076,0.02820344785995177,1,3.413431608250032,-0.9047528862834129,0.0005622102257724636,6.870612076406352,0.14599438568254142,0.6248536625419314
ENSG00000175826,CTDNEP1,1.5903395359080514,0.5098784565050529,0.020380779751749088,1.3379481002240157,-0.2100470304648549,1,0.5014994305959762,-1.643749748735673,0.0000015270002102060775,1.7464404998686538,0.192432091577875,0.6160025806735935
